{'title': 'Agile', 'value': 'agile', 'href': '/auto/ttx/chevrolet/agile'}
{'title': 'Orlando', 'value': 'orlando', 'href': '/auto/ttx/chevrolet/orlando'}
{'title': 'Prisma', 'value': 'prisma', 'href': '/auto/ttx/chevrolet/prisma'}
{'title': 'Prizm', 'value': 'prizm', 'href': '/auto/ttx/chevrolet/prizm'}
{'title': 'Rezzo', 'value': 'rezzo', 'href': '/auto/ttx/chevrolet/rezzo'}
{'title': 'S-10', 'value': 's-10', 'href': '/auto/ttx/chevrolet/s-10'}
{'title': 'Silverado', 'value': 'silverado', 'href': '/auto/ttx/chevrolet/silverado'}
{'title': 'Sonic', 'value': 'sonic', 'href': '/auto/ttx/chevrolet/sonic'}
{'title': 'Spark', 'value': 'spark', 'href': '/auto/ttx/chevrolet/spark'}
{'title': 'Spin', 'value': 'spin', 'href': '/auto/ttx/chevrolet/spin'}
{'title': 'SSR', 'value': 'ssr', 'href': '/auto/ttx/chevrolet/ssr'}
{'title': 'Suburban', 'value': 'suburban', 'href': '/auto/ttx/chevrolet/suburban'}
{'title': 'Tahoe', 'value': 'tahoe', 'href': '/auto/ttx/chevrolet/tahoe'}
{'title': 'Tracker', 'value': 'tracker', 'href': '/auto/ttx/chevrolet/tracker'}
{'title': 'TrailBlazer', 'value': 'trailblazer', 'href': '/auto/ttx/chevrolet/trailblazer'}
{'title': 'Trans Sport', 'value': 'trans_sport', 'href': '/auto/ttx/chevrolet/trans_sport'}
{'title': 'Traverse', 'value': 'traverse', 'href': '/auto/ttx/chevrolet/traverse'}
{'title': 'Trax', 'value': 'trax', 'href': '/auto/ttx/chevrolet/trax'}
{'title': 'Uplander', 'value': 'uplander', 'href': '/auto/ttx/chevrolet/uplander'}
{'title': 'Vectra', 'value': 'vectra', 'href': '/auto/ttx/chevrolet/vectra'}
{'title': 'Venture', 'value': 'venture', 'href': '/auto/ttx/chevrolet/venture'}
{'title': 'Viva', 'value': 'viva', 'href': '/auto/ttx/chevrolet/viva'}
{'title': 'Volt', 'value': 'volt', 'href': '/auto/ttx/chevrolet/volt'}
{'title': 'Zafira', 'value': 'zafira', 'href': '/auto/ttx/chevrolet/zafira'}
